Timestamp,ID_Giocatrice,Data,Qualita_Sonno,Fatica,Readines,Dolori,Note
30/08/2026,4,2026-08-30,9,4,8,3,
2026-08-30T10:09:26.031Z,13,2026-08-30,6,1,5,4,
2026-08-30T10:09:29.057Z,11,2026-08-30,7,5,7,3,
2026-08-30T10:09:36.429Z,8,2026-08-30,8,2,9,2,Federica
2026-08-30T10:09:40.183Z,5,2026-08-30,9,1,9,1,chiara lo dico
2026-08-30T10:21:52.101Z,99,2026-08-30,0,0,0,0,
2026-08-30T10:27:00.310Z,3,2026-08-30,7,1,9,1,
2026-08-30T10:27:05.752Z,7,2026-08-30,9,2,8,0,Elisa Bole
2026-08-30T10:36:31.871Z,9,2026-08-30,8,1,9,1,
2026-08-30T10:38:55.990Z,1,2026-08-30,9,1,9,1,
2026-08-30T10:46:00.614Z,6,2026-08-30,8,3,5,1,
2026-08-30T10:47:58.818Z,2,2026-08-30,7,0,6,1,
2026-08-30T11:01:17.178Z,14,2026-08-30,7,3,9,2,
2026-08-30T12:14:36.993Z,12,2026-08-30,9,2,9,0,
29/08/2026,14,2026-08-29,6,4,9,3,riferito il 30/08 (yesterday)
29/08/2026,4,2026-08-29,8,6,7,3,
2026-08-29T11:23:51.153Z,11,2026-08-29,6,6,5,4,
2026-08-29T11:25:23.599Z,6,2026-08-29,8,3,5,2,Gaia
2026-08-29T11:26:45.581Z,8,2026-08-29,9,4,9,3,Federica
2026-08-29T11:29:07.104Z,9,2026-08-29,9,1,8,1,
2026-08-29T11:34:46.385Z,1,2026-08-29,9,4,7,2,
2026-08-29T11:49:44.814Z,3,2026-08-29,9,1,9,1,
2026-08-29T12:23:47.662Z,12,2026-08-29,9,4,8,0,
2026-08-29T12:24:18.226Z,5,2026-08-29,10,3,8,1,chiara lo dico
2026-08-29T12:25:04.162Z,2,2026-08-29,8,3,7,2,
2026-08-29T12:29:08.169Z,13,2026-08-29,6,3,4,6,
2026-08-29T12:50:26.525Z,7,2026-08-29,8,4,7,0,Elisa Bole
2026-08-29T16:48:51.628Z,99,2026-08-29,0,0,0,0,
27/08/2026,4,2026-08-28,8,6,7,4,calfs
27/08/2026,14,2026-08-28,4,5,9,4,
2026-08-28T10:02:26.565Z,99,2026-08-28,6,3,8,1,Demo
2026-08-28T10:10:03.758Z,12,2026-08-28,8,3,9,,
2026-08-28T10:10:19.833Z,11,2026-08-28,4,6,6,4,
2026-08-28T10:10:43.227Z,2,2026-08-28,7,3,7,2,
2026-08-28T10:11:18.848Z,5,2026-08-28,7,4,7,2,chiara lo dico
2026-08-28T10:14:40.461Z,6,2026-08-28,7,5,5,2,Gaia
2026-08-28T10:19:22.640Z,7,2026-08-28,7,4,7,,
2026-08-28T10:26:13.954Z,99,2026-08-28,,,,,Ciao 0
2026-08-28T10:30:38.572Z,99,2026-08-28,0,0,0,0,
2026-08-28T10:34:53.726Z,8,2026-08-28,4,4,8,3,Federica
2026-08-28T11:07:11.825Z,13,2026-08-28,8,4,7,6,Giulia 👍🏼
2026-08-28T16:59:13.631Z,3,2026-08-28,9,2,7,8,
2026-08-28T17:02:41.587Z,1,2026-08-28,9,4,8,4,
2026-08-28T17:34:04.152Z,9,2026-08-28,7,3,9,1,
26/08/2026,12,2026-08-27,8,3,9,0,
26/08/2026 23.21.00,3,2026-08-27,7,2,7,4,
26/08/2026,8,2026-08-27,7,4,10,4,adduttore sinistro
26/08/2026 23.24.00,9,2026-08-27,7,2,9,2,
26/08/2026,7,2026-08-27,7,4,7,1,
26/08/2026,4,2026-08-27,8,4,8,"3,5",calfs (3-4)
26/08/2026 23.43.00,11,2026-08-27,7,"5,5",7,4,
26/08/2026 23.54.00,13,2026-08-27,7,5,7,5,tendine ach sx (dettato a voce da Giulia a Pablo)
27/08/2026 0.02.00,1,2026-08-27,9,4,9,4,
27/08/2026 0.10.00,6,2026-08-27,8,4,7,2,
27/08/2026,2,2026-08-27,7,4,8,2,
27/08/2026 0.50.00,5,2026-08-27,8,4,8,4,
27/08/2026,14,2026-08-27,5,3,9,3,"overall 3, wrist 4"
2026-08-27T20:48:19.286Z,99,2026-08-27,6,5,,,
2026-08-27T20:48:56.326Z,99,2026-08-27,6,8,,,
25/08/2026 22.05.00,3,2026-08-26,5,3,8,3,
25/08/2026 22.07.00,6,2026-08-26,7,5,7,1,
