N_Seduta,Ord_Metodo,Ord_Eserc,Esercizio,Esercizio_EN,Metodo,Serie,Reps,Intensità,Recupero,RPE,Log_Libero,Tipo_Esercizio,Catena,Codice,Ruoli,Istruzione,Note,SerieB,RepsB,IntensitàB,RecuperoB
W2-MarP,4,1,Step-down lateral con pausa,Lateral step-down with pause,Specifico Ruolo — Controllo,2,6/lato,,30s,4,NO,Propriocettivo,Inferiore,RUOLO-C1-MARP,Centrale,Scendi lateralmente sul bordo step — pausa 2s in bassa — controlla il ginocchio no valgus — risali con controllo,Prevenzione ginocchio nel pattern di muro laterale — eccentrico controllato,,,,
W2-MarP,4,2,Calf raise monopodalico isometrico+concentrico,Single-leg calf raise ISO+CON,Specifico Ruolo — Controllo,2,10,,30s,5,NO,Eccentrico,Inferiore,RUOLO-C2-MARP,Centrale,Scendi 3s — pausa 1s in bassa — risali su 2 piedi — solo discesa monopodal — piede nudo o scarpa minimalista,Stiffness caviglia per il detach del muro — complementa il calf W2-LunSp,,,,
W2-MarP,4,3,Romanian deadlift monopod. con pausa,Single-leg RDL with pause,Specifico Ruolo — Controllo,2,6/lato,,30s,5,NO,Eccentrico,Inferiore,RUOLO-S1-MARP,Schiaccia/Opposto,Cerniera all'anca — schiena neutra — tronco parallelo al suolo — pausa 2s in bassa — risali controllando,Decelerazione eccentrica anca-ginocchio — simula il pattern di atterraggio della rincorsa attacco,,,,
W2-MarP,4,4,Nordic hamstring curl assistito,Assisted nordic hamstring curl,Specifico Ruolo — Controllo,2,4,,60s,6,NO,Eccentrico,Posteriore,RUOLO-S2-MARP,Schiaccia/Opposto,Inginocchiate — piedi bloccati da compagna — scendi lento 4s — spingi mani a terra in arrivo — risali con aiuto,Prevenzione hamstring nel gesto di attacco overhead — eccentrico bias — non superare RPE 6,,,,
W2-MarP,4,5,ER isometrica elastico 3 posizioni,Band ER isometric 3 positions,Specifico Ruolo — Controllo,2,10s/pos,,20s,3,NO,Isometrico,Superiore,RUOLO-P1-MARP,Palleggiatrice,Elastico leggero — mantieni 10s per posizione: 0° — 45° — 90° abduzione — zero compenso trapezio superiore — 3 posizioni consecutive,Cuffia a 3 angoli — prevenzione overhead ripetuto del palleggio — eseguire prima del carico pesante,,,,
W2-MarP,4,6,Pistol squat assistito su box,Assisted box pistol squat,Specifico Ruolo — Controllo,2,6/lato,,30s,5,NO,Monopodalico,Inferiore,RUOLO-P2-MARP,Palleggiatrice,Seduta su box bassa 30cm — alzati su un piede — controllo ginocchio no valgus — scendi lentamente — box come target per l'atterraggio,Stabilità anca monopodalica nei micro-spostamenti — il box regola la profondità sicura,,,,
W2-MarP,4,7,Copenhagen laterale iso→dinamico,Copenhagen ISO to dynamic,Specifico Ruolo — Controllo,2,20s+8/lato,,30s,5,NO,Eccentrico,Inferiore,RUOLO-L1-MARP,Libero,Prima serie: hold isometrico 20s — seconda serie: 8 rip dinamici con arco completo — posizione di difesa bassa,Adduttori in difesa laterale bassa — prevenzione pubalgia nei movimenti di divaricazione,,,,
W2-MarP,4,8,Deceleration lunge con pausa,Deceleration lunge with pause,Specifico Ruolo — Controllo,2,6/lato,,30s,5,NO,Funzionale,Inferiore,RUOLO-L2-MARP,Libero,3 passi in avanti + lunge profondo con pausa 2s in bassa — piede anteriore stabile — no cedimento laterale del tronco,Eccentrico quadricipite nella frenata — pattern di plant-and-go della difesa bassa,,,,
W2-GioV,4,1,Jump squat corpo libero,Bodyweight jump squat,Specifico Ruolo — Potenza,3,4,,90s,7,NO,Ballistico,Inferiore,RUOLO-C1-GIOV,Centrale,Squat rapido fino a 90° + esplosione massimale verticale — atterraggio morbido punta-tacco — intenzione massima in elevazione,Potenza verticale del muro senza rincorsa — complementa il clean del GioV — meno volume rispetto a schiacciatrici,,,,
W2-GioV,4,2,Side-to-side lateral bound,Lateral bound side to side,Specifico Ruolo — Potenza,3,4/lato,,60s,7,NO,Ballistico,Inferiore,RUOLO-C2-GIOV,Centrale,Salto laterale da un piede — atterraggio monopodal — pausa 1s — rimbalzo immediato al lato opposto — 4 per lato alternati,Reattività laterale del muro — stiffness anca-caviglia in direzione laterale — simula lo spostamento tra colonne,,,,
