N_Seduta,Ord_Metodo,Ord_Eserc,Esercizio,Esercizio_EN,Metodo,Serie,Reps,Intensità,Recupero,RPE,Log_Libero,Tipo_Esercizio,Catena,Codice,Ruoli,Istruzione,Note,SerieB,RepsB,IntensitàB,RecuperoB
W3-LunP,1,1,Respirazione di squadra,Team breathing,Attivazione,,,,,2,NO,Respirazione,Totale,BREATH-TEAM,tutti,Box breathing 4-4-4-4 × 4 cicli — in piedi in cerchio — sincronizza il respiro con la squadra — occhi chiusi,Attivazione parasimpatica collettiva — crea coesione prima del carico,,,,
W3-LunP,2,1,Prehab individuale,Individual prehab,Prehab individuale,,,,,3,NO,Prehab,Individuale,PREHAB-IND,tutti,Segui il protocollo personale — vedi link dedicato nella scheda — esegui in autonomia prima di passare al blocco pesante,Ogni atleta ha il proprio protocollo — non sostituire gli esercizi,,,,
W3-LunP,3,1,Mobilità dinamica,Dynamic mobility,Attivazione,,,,,3,NO,Mobilità,Totale,MOB-GEN,tutti,Sblocca tutte le articolazioni prima del carico — busto/anca/spalla,4 min — nessun carico,,,,
W3-LunP,3,1,Stiff leg deadlift,Stiff leg deadlift,Prehab,3,5 · 3010|5 · 3010|5 · 3010,30|35|40,90s,6,NO,Eccentrico,Inferiore,NELLY-SLD-S3,Nelly,Bilanciere — gambe tese — cerniera all'anca — schiena piatta — discesa controllata 3 secondi,Prehab Nelly Blocco 1,,,,
W3-LunP,3,2,Twists BB standing,Barbell standing twists,Prehab,3,5+5|5+5|5+5,30-40|30-40|30-40,60s,5,NO,Core,Core,NELLY-TWI-S3,Nelly,Bilanciere sulle spalle — piedi fissi — rotazione controllata del tronco 5 per lato,Prehab Nelly Blocco 1,,,,
W3-LunP,3,3,One leg deadlift BB,Single-leg barbell deadlift,Prehab,3,5+5 · 2010|5+5 · 2010|5+5 · 2010,,60s,6,NO,Eccentrico,Inferiore,NELLY-OLL-S3,Nelly,Bilanciere — cerniera all'anca su un piede — gamba libera estesa dietro — schiena piatta,Prehab Nelly Blocco 1,,,,
W3-LunP,4,1,Glutei con banda,Band glute activation,Attivazione specifica,,,,60s,3,NO,Attivazione,Inferiore,GLUT-BANDA,tutti,Accende la catena d'anca prima del carico pesante — 3-4 esercizi a scelta,Attivazione specifica glutei,,,,
W3-LunP,4,2,CMJ marker,CMJ marker,Monitoraggio,3,1,,,3,SI,Ballistico,Totale,CMJ,tutti,Salto verticale massimale — registra il valore in cm — 3 tentativi,Misura di monitoraggio settimanale — non è allenamento,,,,
W3-LunP,5,1,Heel raise zavorrato,Weighted heel raise,Prevenzione,3,10,+5kg,60s,5,NO,Eccentrico,Inferiore,PREV-C1-W3,Centrale,"Piedi su step o rialzo con manubrio — salita su due piedi, discesa lenta 3 secondi di tenuta — rinforzo tendine d'Achille",Forza nel range W3-4 Centrali,,,,
W3-LunP,5,2,Step down eccentrico,Eccentric step down,Prevenzione,3,8 / lato,,45s,5,NO,Propriocettivo,Inferiore,PREV-C2-W3,Centrale,In piedi su box/panca — scendi lentamente toccando il tallone a terra senza caricare — ginocchio allineato,Controllo eccentrico quadricipite/rotula,,,,
W3-LunP,5,1,Extrarotazione eccentrica cavo,Cable eccentric external rotation,Prevenzione,3,10 / lato,,45s,5,NO,Eccentrico,Superiore,PREV-S1-W3,Schiaccia/Opposto,Gomito a 90° al fianco — ruota all'esterno e frena il ritorno in 3 secondi — rinforzo cuffia sottoscapolare/infraspinato,Cuffia sotto carico W3-4 Schiacciatrici/Opposti,,,,
W3-LunP,5,2,Trap-3 raise panca inclinata,Incline trap-3 raise,Prevenzione,3,8,Manubri 1-2kg,45s,5,NO,Rinforzo,Superiore,PREV-S2-W3,Schiaccia/Opposto,Pancia su panca inclinata 30-45° — solleva le braccia a Y con pollici in alto — focalizzati sul trapezio inferiore,Stabilità scapolare W3-4,,,,
W3-LunP,5,1,Wrist roller,Wrist roller,Prevenzione,3,3 salite,,45s,5,NO,Rinforzo,Superiore,PREV-P1-W3,Palleggiatrice,Braccia tese avanti — arrotola e srotola la corda controllando il peso — flessori ed estensori del carpo,Avambraccio carico W3-4 Palleggiatrici,,,,
W3-LunP,5,2,Farmer carry polsi/presa,Farmer carry wrist focus,Prevenzione,3,20m,KB/DB,45s,5,NO,Rinforzo,Superiore,PREV-P2-W3,Palleggiatrice,Camminata con carichi pesanti nelle mani — polsi dritti in linea — spalle depresse — core attivo,Stabilità polso/mano,,,,
W3-LunP,5,1,Nordic hamstring assistito,Assisted Nordic hamstring curl,Prevenzione,3,6,Elastico,60s,6,NO,Eccentrico,Inferiore,PREV-L1-W3,Libero,In ginocchio con caviglie bloccate — scendi in avanti controllando l'eccentrica con assistenza dell'elastico,Eccentrico flessori d'anca/ginocchio W3-4 Libero,,,,
W3-LunP,5,2,Skater squat controllato,Controlled skater squat,Prevenzione,3,6 / lato,,45s,6,NO,Propriocettivo,Inferiore,PREV-L2-W3,Libero,Squat monopodalico sfiorando il ginocchio libero a terra dietro — focus stabilità anca/ginocchio senza valgo,Stabilità monopodalica Libero,,,,
W3-LunP,6,1,1A. Lanci MB rotazionali / slam,1A. Rotational MB slam,Esplosività,2,5 / lato,MB 3-4 kg,0s,6-7,NO,Ballistico,Totale,MB-SLAM-ROT,!Nelly,Palla medica 3-4 kg — slam rotazionale esplosivo a terra — subito in superserie con 1B senza recupero,Superset Esplosività 1A+1B (recupero 60s solo dopo 1B),,,,
W3-LunP,6,2,1B. Pogo jumps reattivi,1B. Reactive pogo jumps,Esplosività,2,8,Corpo libero,60s,6-7,NO,Ballistico,Inferiore,POGO-REATT,!Nelly,8 balzi reattivi a corpo libero — contatto a terra brevissimo (stiffness caviglia) — recupero 60s al termine,Superset Esplosività 1A+1B (recupero 60s solo dopo 1B),,,,
W3-LunP,7,1,Squat cluster 3×(2+1),Back squat cluster 3x(2+1),Forza massima,3,2+1,82/85%,2'30,7-8,NO,Bipodalico,Inferiore,SQ-CLUSTER,"!Nelly,!Libero",2 rip @82% + pausa 20s nel rack + 1 rip @85% — spinta esplosiva dal pavimento — controllo discesa,Onda cluster W3 — coincide con prima amichevole sabato — tetto ciclo 87% non superato,,,,
W3-LunP,7,1,Box Squat @80%,Box squat 80%,Forza Libero,3,3,80%,2',7,NO,Bipodalico,Inferiore,SQ-BOX-LIB,Libero,Squat su box al parallelo — fermo 1 secondo sul box senza rilassare il tronco — esplosione concentrica,Reattività e potenza treno inferiore per il Libero,,,,
W3-LunP,8,1,Bench Press,Bench press,Superserie,3,4,75%,90s,7,NO,Spinta,Superiore,BENCH-W3,"!Nelly,!Libero",Spinta orizzontale bilanciere — tocca il petto controllato — spinta forte — in superserie con Lat Machine/Pull-up,Vettore Spinta Orizzontale Lunedì,,,,
W3-LunP,8,2,Lat Machine / Pull-up,Lat pulldown / Pull-up,Superserie,3,6,RPE 7,90s,7,NO,Tirata,Superiore,LAT-W3,"!Nelly,!Libero",Tirata verticale — decompressione scapolare e dorsale post-riposo/gara — controllo eccentrico,Vettore Tirata Verticale Lunedì (Regola Vettori),,,,
W3-LunP,8,1,Prone Y raise,Prone Y raise,Rinforzo scapolare Libero,3,12,,60s,5,NO,Rinforzo,Superiore,LIB-SCAP-W3,Libero,Prono su panca — braccia a Y a 135° — pollici in alto — solleva le scapole in depressione e abbassa controllato,Stabilità scapolare specifica Libero,,,,
W3-LunP,8,2,Single-arm row cavo basso,Single-arm low cable row,Rinforzo scapolare Libero,3,8 / lato,+2kg vs W2,60s,6,SI,Tirata,Superiore,LIB-ROW-W3,Libero,In piedi — cavo basso — trazione orizzontale a braccio singolo — rotazione controllata del tronco — registra il carico,Tirata unilaterale Libero,,,,
W3-LunP,8,3,Med ball slam rotazionale basso,Rotational med ball slam low,Rinforzo scapolare Libero,3,4 / lato,MB 3-4 kg,60s,7,NO,Ballistico,Totale,LIB-MBSLAM-W3,Libero,Palla medica 3-4 kg — rotazione del tronco e slam a terra all'esterno del piede,Transfer rotazionale basso per il Libero,,,,
W3-LunP,9,1,Box jump atterraggio pulito,Box jump clean landing,Pliometria,3,4,,90s,6,NO,Salto,Inferiore,BOXJMP-W3,!Nelly,Salto su cassetta — atterraggio morbido punta-tacco — ammortizza 2 secondi — dose per centrali/palleggiatrici: 2x4 reps,"Pliometria controllata dose ruolo (Banda 3x4, Centrali/Pall 2x4)",,,,
W3-LunP,10,1,Pallof press,Pallof press,Core,2,10+10,,45s,5,NO,Anti-rotazione,Core,PALLOF-W3,tutti,Cavo/elastico al petto — spingi in avanti e rientra — non farti ruotare il tronco — 10 per lato,Anti-rotazione core,,,,
W3-LunP,11,1,Mobilità e decompressione,Cool-down mobility,Chiusura,,,,,2,NO,Mobilità,Totale,MOB-CLOSE-W3,tutti,Stretching statico principali catene + respirazione diaframmatica,3 min — rientro parasimpatico,,,,
W3-LunP,7,1,Box Squat piramidale,Pyramidal box squat,Main Exercises,4,12|8|6|4 · 2010,45kg|55kg|65kg|75kg,2',7,SI,Bipodalico,Inferiore,NELLY-SQ-S3,Nelly,Box squat con carichi piramidali crescenti — tempo 2010 — fermo controllato sul box — risalita decisa,Main Strength Nelly Blocco 2,,,,
W3-LunP,7,2,Pull Over BB,Barbell pullover,Main Exercises,3,6 · 2010,12-14kg,90s,6,SI,Tirata,Superiore,NELLY-PO-S3,Nelly,Panca orizzontale — bilanciere sopra il petto — scendi dietro la testa in 2 secondi — in superserie con DB Row,Main Strength Nelly Blocco 2,,,,
W3-LunP,7,3,One hand DB row,One-arm dumbbell row,Main Exercises,3,6 · 1030,12-14kg,90s,6,SI,Tirata,Superiore,NELLY-ROW-S3,Nelly,"Ginocchio su panca — tirata al fianco — pausa 1 secondo in contrazione, ritorno lento 3 secondi",Main Strength Nelly Blocco 2,,,,
W3-LunP,8,1,Lat pull down frontale,Front lat pulldown,Accessories,3,6 · 1030,12-15kg,90s,6,NO,Tirata,Superiore,NELLY-LAT-S3,Nelly,Presa ampia — trazione al petto — scapole in basso — ritorno controllato 3 secondi,Accessories Nelly Blocco 3,,,,
W3-LunP,8,2,Floor chest press,Floor chest press,Accessories,3,6 · 2010,,90s,6,NO,Spinta,Superiore,NELLY-FCP-S3,Nelly,A terra supina con manubri — gomiti sfiorano il pavimento a 45° — spinta verso l'alto — protegge la spalla,Accessories Nelly Blocco 3,,,,
W3-LunP,8,3,Hamstring ball curl,Fitball hamstring curl,Accessories,3,8 · 1030,,90s,6,NO,Eccentrico,Inferiore,NELLY-HC-S3,Nelly,Supina — talloni su fitball — solleva il bacino e fletti le ginocchia rotolando la palla — ritorno lento 3s,Accessories Nelly Blocco 3,,,,
W3-LunP,8,4,Calf raises in piedi,Standing calf raises,Accessories,3,6 · 1020,12-15kg,60s,5,NO,Eccentrico,Inferiore,NELLY-CALF-S3,Nelly,"Su gradino/step — salita completa su due piedi, discesa lenta 2 secondi con tenuta",Accessories Nelly Blocco 3,,,,
W3-LunP,10,1,Addominali liberi,Free core exercise,Abdominals + Transfer,2,,,45s,5,NO,Core,Core,NELLY-ABS-S3,Nelly,Plank o Hollow body hold — tenuta isometrica controllata,Abdominals Nelly Blocco 4,,,,
W3-LunP,10,2,Hang Clean,Hang clean,Abdominals + Transfer,3,3 · 10X0,35-40kg,2',7,SI,WL derivato,Totale,NELLY-CLN-S3,Nelly,Partenza da sopra il ginocchio — estensione esplosiva e incastro rapido alle spalle,Transfer Nelly Blocco 4,,,,
W3-LunP,10,3,Floor ball throws,Floor ball throws,Abdominals + Transfer,3,5,MB 3kg,60s,7,NO,Ballistico,Totale,NELLY-FBT-S3,Nelly,Slam a terra con forza massimale — cattura rimbalzo,Transfer Nelly Blocco 4,,,,
W3-MerV,1,1,Respirazione di squadra,Team breathing,Attivazione,,,,,2,NO,Respirazione,Totale,BREATH-TEAM-V,tutti,Box breathing 4-4-4-4 × 4 cicli — in piedi in cerchio,Attivazione parasimpatica pre-potenza,,,,
W3-MerV,2,1,Prehab individuale,Individual prehab,Prehab individuale,,,,,3,NO,Prehab,Individuale,PREHAB-IND-V,tutti,Protocollo personale asimmetrie e prevenzione prima del gesto veloce,Eseguire in autonomia,,,,
W3-MerV,3,1,Mobilità dinamica veloce,Dynamic mobility fast,Attivazione,,,,,3,NO,Mobilità,Totale,MOB-GEN-V,tutti,Mobilità articolare dinamica — focus anca e scapolo-omerale,4 min,,,,
W3-MerV,3,1,Stiff leg deadlift,Stiff leg deadlift,Prehab,3,5 · 3010|5 · 3010|5 · 3010,30|35|40,90s,6,NO,Eccentrico,Inferiore,NELLY-SLD-V3,Nelly,Bilanciere — gambe tese — discesa controllata 3 secondi — schiena piatta,Prehab Nelly Blocco 1,,,,
W3-MerV,3,2,Twists BB standing,Barbell standing twists,Prehab,3,5+5|5+5|5+5,30-40|30-40|30-40,60s,5,NO,Core,Core,NELLY-TWI-V3,Nelly,Bilanciere sulle spalle — rotazione controllata del tronco 5 per lato,Prehab Nelly Blocco 1,,,,
W3-MerV,3,3,One leg deadlift BB,Single-leg barbell deadlift,Prehab,3,5+5 · 2010|5+5 · 2010|5+5 · 2010,,60s,6,NO,Eccentrico,Inferiore,NELLY-OLL-V3,Nelly,Bilanciere su un arto — cerniera controllata — schiena piatta,Prehab Nelly Blocco 1,,,,
W3-MerV,4,1,1A. Lanci MB slam / rotazionali,1A. Rotational MB slam,Esplosività,2,5 / lato,MB 3-4 kg,0s,6,NO,Ballistico,Totale,MB-SLAM-V3,!Nelly,Lancio palla medica rotazionale contro muro o slam a terra — transizione immediata a 1B,Superset Esplosività 1A+1B (recupero 60s dopo 1B),,,,
W3-MerV,4,2,1B. Pogo jumps reattivi,1B. Reactive pogo jumps,Esplosività,2,8,Corpo libero,60s,6,NO,Ballistico,Inferiore,POGO-REATT-V3,!Nelly,8 balzi elastici a corpo libero — contatto rapido e rimbalzo — recupero 60s solo al termine,Superset Esplosività 1A+1B (recupero 60s dopo 1B),,,,
W3-MerV,5,1,Clean,Power clean,WL derivato,4,2,78%,2',7,NO,WL derivato,Totale,CLEAN-W3,!Nelly,Hang clean o Clean al quarto — tripla estensione dinamica con bilanciere — massima velocità concentrica,Progressione W2 (72%→78%) — mai sospeso,,,,
W3-MerV,6,1,Jump Squat con bilanciere,Barbell jump squat,Forza veloce,4,3,20% carico equiv.,2',7,NO,Bipodalico,Inferiore,JSQ-W3,!Nelly,Bilanciere leggero (20% del massimale squat o bilanciere scarico) — mezza accosciata ed esplosione massima in uscita — atterraggio pulito,Forza-velocità con sovraccarico leggero,,,,
W3-MerV,7,1,Push Press,Push press,Superserie,3,4,RPE 7,90s,7,NO,Spinta,Superiore,PP-W3,"!Nelly,!Libero",Dip di ginocchia controllato — spinta verticale esplosiva con estensione overhead completa — in superserie con Row BB / DB Row,Vettore Spinta Verticale Mercoledì,,,,
W3-MerV,7,2,Row bilanciere / DB Row,Barbell row / DB row,Superserie,3,5,75%,90s,6-7,NO,Tirata,Superiore,ROW-W3,"!Nelly,!Libero",Busto flesso a 45° — trazione orizzontale all'ombelico — adduzione scapolare attiva in contrasto con la spinta sopra la testa,Vettore Tirata Orizzontale Mercoledì (Regola Vettori),,,,
W3-MerV,7,1,Lunge p. one arm press KB,Lunge position one arm KB press,Spinta,3,5 / lato,KB,90s,6,SI,Spinta,Superiore,LUNGE-PRESS-DODI,Schiaccia/Opposto,Posizione di affondo (lunge) — spinta verticale controllata con kettlebell a braccio singolo sul piano scapolare neutro — azzera lo stress acromiale,Variante protetta Sara Dodi (#09) in sostituzione di Push Press,,,,
W3-MerV,7,1,Prone Y raise,Prone Y raise,Rinforzo scapolare Libero,3,12,,60s,5,NO,Rinforzo,Superiore,LIB-SCAP-V3,Libero,Panca orizzontale o inclinata — sollevamento controllato delle braccia a Y — depressione scapolare attiva,Rinforzo scapolare specifico Libero,,,,
W3-MerV,7,2,Single-arm row cavo basso,Single-arm low cable row,Rinforzo scapolare Libero,3,8 / lato,+2kg vs W2,60s,6,SI,Tirata,Superiore,LIB-ROW-V3,Libero,Tirata orizzontale al cavo basso a braccio singolo — controllo rotazione tronco,Tirata al cavo specifica Libero,,,,
W3-MerV,8,1,Rotazionale con MB,Rotational MB throws,Core dinamico,2,6+6,MB 3kg,45s,5,NO,Ballistico,Core,MB-ROT-W3,tutti,Palla medica 3 kg — rotazione del tronco esplosiva contro muro o compagna — transfer di potenza d'attacco,Core dinamico,,,,
W3-MerV,8,2,Deadbug,Deadbug,Core,3,6+6,Corpo libero,45s,5,NO,Anti-estensione,Core,DEADBUG-W3,tutti,Schiena neutra aderente al pavimento — estensione alternata braccio e gamba opposta — 6+6 ripetizioni controllate per tutte,Standard squadra consolidato 3x6+6 reps,,,,
W3-MerV,8,3,Deadbug Pullover,Deadbug pullover,Core,3,6+6,KB / Manubrio,45s,5,SI,Anti-estensione,Core,DB-PULLOVER-DODI,Schiaccia/Opposto,Tenuta a gambe piegate a 90° con movimento controllato di pullover con piccolo carico (KB o manubrio) — schiena neutra e lombare protetta,Variante protetta per Sara Dodi (#09) con slot carico dedicato,,,,
W3-MerV,9,1,Mobilità e decompressione,Cool-down mobility,Chiusura,,,,,2,NO,Mobilità,Totale,MOB-CLOSE-V3,tutti,Stretching statico principali catene + respirazione diaframmatica,3 min — rientro parasimpatico,,,,
W3-MerV,5,1,Dynamic half squat,Dynamic half squat,Main Exercises,4,4|3|4|3 · 20X0,15kg|10kg|12kg|10kg,2',7,SI,Bipodalico,Inferiore,NELLY-DHSQ-S3,Nelly,Mezzo squat dinamico — discesa controllata 2s ed esplosione concentrica immediata (tempo X) — carichi progressivi,Main Power Nelly Blocco 2,,,,
W3-MerV,6,1,Pull Over,Pull over,Main Exercises,4,4|3|4|3 · 2010,14kg|10kg|12kg|10kg,90s,6,SI,Tirata,Superiore,NELLY-PO-S3-P,Nelly,Bilanciere/manubrio — discesa controllata 2 secondi — in superserie con DB row,Main Power Nelly Blocco 2,,,,
W3-MerV,6,2,One hand DB row,One-arm dumbbell row,Main Exercises,4,4|3|4|3 · 1030,14kg|10kg|12kg|10kg,90s,6,SI,Tirata,Superiore,NELLY-OHROW-S3,Nelly,Tirata manubrio a una mano — discesa lenta 3 secondi di tenuta,Main Power Nelly Blocco 2,,,,
W3-MerV,7,1,Lat pull down frontale,Front lat pulldown,Accessories,3,5 · 1030,12-15kg,90s,6,NO,Tirata,Superiore,NELLY-LAT-S3-P,Nelly,Trazione frontale — scapole in basso e ritorno controllato,Accessories Nelly Blocco 3,,,,
W3-MerV,7,2,Floor chest press,Floor chest press,Accessories,3,5 · 2010,,90s,6,NO,Spinta,Superiore,NELLY-FCP-S3-P,Nelly,A terra con manubri — spinta verso l'alto — protezione spalla,Accessories Nelly Blocco 3,,,,
W3-MerV,7,3,Hamstring ball curl,Fitball hamstring curl,Accessories,3,6 · 1030,,90s,6,NO,Eccentrico,Inferiore,NELLY-HC-S3-P,Nelly,Ponte con talloni su fitball — arriccia la palla controllando l'eccentrica 3 secondi,Accessories Nelly Blocco 3,,,,
W3-MerV,7,4,Calf raises in piedi,Standing calf raises,Accessories,3,5 · 1020,12-15kg,60s,5,NO,Eccentrico,Inferiore,NELLY-CALF-S3-P,Nelly,Alzata su due piedi con carico — discesa controllata 2s,Accessories Nelly Blocco 3,,,,
W3-MerV,10,1,Addominali,Abdominals,Abdominals + Transfer,2,,,45s,5,NO,Core,Core,NELLY-ABS-S3-P,Nelly,Esercizi a scelta per core stability (Plank o Hollow),Abdominals Nelly Blocco 4,,,,
W3-MerV,10,2,Clean to split position,Clean to split position,Abdominals + Transfer,3,2+2 · 10X0,35kg,2',7,SI,WL derivato,Totale,NELLY-CLN-SPLIT-S3,Nelly,Girata al petto ricevuta in affondo (split) — stabilità e coordinazione piedi,Transfer Nelly Blocco 4,,,,
W3-MerV,10,3,Floor ball throws,Floor ball throws,Abdominals + Transfer,3,4,MB 3kg,60s,7,NO,Ballistico,Totale,NELLY-FBT-S3-P,Nelly,Slam a terra con palla medica 3 kg — massima accelerazione,Transfer Nelly Blocco 4,,,,
W3-VenR,1,1,Respirazione di squadra,Team breathing,Attivazione,,,,,2,NO,Respirazione,Totale,BREATH-TEAM-R,tutti,Box breathing 4-4-4-4 × 4 cicli — respirazione diaframmatica,Attivazione parasimpatica pre-match,,,,
W3-VenR,2,1,Prehab individuale,Individual prehab,Prehab individuale,,,,,3,NO,Prehab,Individuale,PREHAB-IND-R,tutti,Protocollo individuale personale,Zero salti,,,,
W3-VenR,3,1,Mobilità e rilascio miofasciale,Mobility & myofascial release,Attivazione,,,,,3,NO,Mobilità,Totale,MOB-FOAM-R,tutti,"Foam roller su quadricipiti, dorsali e glutei + mobilità articolare dinamica senza affaticamento",5 min — prepara il corpo senza stancare,,,,
W3-VenR,4,1,Heel raise zavorrato,Weighted heel raise,Prevenzione,3,10,+5kg,60s,5,NO,Eccentrico,Inferiore,PREV-C1-VR,Centrale,Polpaccio su gradino — discesa controllata 3 secondi — tenuta in punta,Prevenzione Centrali,,,,
W3-VenR,4,1,Extrarotazione eccentrica cavo,Cable eccentric external rotation,Prevenzione,3,10 / lato,,45s,5,NO,Eccentrico,Superiore,PREV-S1-VR,Schiaccia/Opposto,Cuffia dei rotatori — ritorno controllato 3 secondi,Prevenzione Schiacciatrici/Opposti,,,,
W3-VenR,4,1,Farmer carry polsi,Farmer carry wrist focus,Prevenzione,3,20m,KB/DB,45s,5,NO,Rinforzo,Superiore,PREV-P1-VR,Palleggiatrice,Tenuta isometrica della presa e stabilità scapolare,Prevenzione Palleggiatrici,,,,
W3-VenR,4,1,Nordic hamstring assistito,Assisted Nordic hamstring curl,Prevenzione,3,6,Elastico,60s,5,NO,Eccentrico,Inferiore,PREV-L1-VR,Libero,Tenuta eccentrica controllata con elastico,Prevenzione Libero,,,,
W3-VenR,5,1,Stacco Rumeno (RDL bilanciere),Romanian deadlift (RDL),Forza leggera Hinge,2,3,75%,2',6,NO,Eccentrico,Posteriore,RDL-W3,!Nelly,Cerniera all'anca con bilanciere — gambe semi-flesse — schiena perfettamente neutra — discesa controllata 3s fino sotto il ginocchio — risalita decisa,Richiamo eccentrico catena posteriore sub-massimale — NO cedimento,,,,
W3-VenR,5,1,RDL manubri sub-massimale,DB Romanian deadlift,Main Exercises,2,5 · 3010,14-16kg,90s,6,NO,Eccentrico,Posteriore,NELLY-RDL-S3,Nelly,Manubri — discesa lenta 3 secondi — allungamento controllato femorali — schiena dritta,Richiamo Nelly Blocco 2,,,,
W3-VenR,6,1,Lat Machine o Row leggero,Lat pulldown or light row,Tirata,2,8,RPE 5-6,90s,5-6,NO,Tirata,Superiore,LAT-ROW-RICHIAMO,!Nelly,Tirata fluida e decompressiva — volume basso — favorisce la circolazione e il recupero scapolare,Richiamo trofico e decompressivo,,,,
W3-VenR,6,1,Floor chest press leggera,Light floor chest press,Accessories,2,6,,60s,5,NO,Spinta,Superiore,NELLY-FCP-RICHIAMO,Nelly,Manubri leggeri — spinta fluida dal suolo — zero affaticamento,Accessories Nelly Blocco 3,,,,
W3-VenR,7,1,Pallof press,Pallof press,Core,2,10+10,,45s,4-5,NO,Anti-rotazione,Core,PALLOF-RICHIAMO,!Nelly,Anti-rotazione leggera — tenuta 2 secondi in estensione — non forzare,Core leggero pre-gara,,,,
W3-VenR,7,1,Addominali e scarico colonna,Core and spinal decompression,Abdominals + Transfer,2,,,45s,4,NO,Core,Core,NELLY-ABS-RICHIAMO,Nelly,Esercizi di tenuta isometrica a terra e respirazione — zero salti,Transfer Nelly Blocco 4,,,,
W3-VenR,8,1,Decompressione lombare e flessori anca,Lumbar & hip flexor decompression,Chiusura,,,,,2,NO,Mobilità,Totale,MOB-RICHIAMO-CLOSE,tutti,Scarico della colonna vertebrale in sospensione o a terra — allungamento ileopsoas e retto femorale — gambe fresche per il sabato — ZERO SALTI,5 min — Friday Jump Ban rispettato al 100%,,,,
